eV	Re eps	Im eps
28	6.28E-01	6.15E-01
27	6.24E-01	6.50E-01
26	6.14E-01	6.91E-01
25	6.14E-01	7.42E-01
24.5	6.22E-01	7.66E-01
24	6.33E-01	7.80E-01
23.5	6.38E-01	7.98E-01
23	6.47E-01	7.98E-01
22.5	6.34E-01	8.07E-01
22	6.23E-01	8.20E-01
21.5	6.11E-01	8.30E-01
21	5.85E-01	8.46E-01
20.5	5.54E-01	8.80E-01
20	5.36E-01	9.17E-01
19.5	5.14E-01	9.62E-01
19	5.04E-01	1.01E+00
18.5	4.93E-01	1.06E+00
18	4.87E-01	1.12E+00
17.5	4.91E-01	1.18E+00
17	5.06E-01	1.23E+00
16.5	5.15E-01	1.29E+00
16	5.32E-01	1.34E+00
15.75	5.38E-01	1.36E+00
15.5	5.48E-01	1.39E+00
15.25	5.59E-01	1.42E+00
15	5.71E-01	1.44E+00
14.75	5.86E-01	1.46E+00
14.5	6.08E-01	1.48E+00
14.25	6.05E-01	1.48E+00
14	6.45E-01	1.51E+00
13.75	6.49E-01	1.51E+00
13.5	6.48E-01	1.51E+00
13.25	6.68E-01	1.52E+00
13	6.68E-01	1.52E+00
12.75	6.64E-01	1.53E+00
12.5	6.64E-01	1.53E+00
12.25	6.38E-01	1.52E+00
12	6.34E-01	1.53E+00
11.75	6.35E-01	1.53E+00
11.5	5.91E-01	1.50E+00
11.25	5.68E-01	1.49E+00
11	4.92E-01	1.47E+00
10.8	4.28E-01	1.48E+00
10.6	3.73E-01	1.48E+00
10.4	2.64E-01	1.52E+00
10.2	2.05E-01	1.58E+00
10	1.43E-01	1.64E+00
9.8	9.77E-02	1.70E+00
9.6	4.13E-02	1.76E+00
9.4	-5.73E-03	1.83E+00
9.2	-5.45E-02	1.89E+00
9	-8.69E-02	1.95E+00
8.8	-1.58E-01	2.04E+00
8.6	-2.04E-01	2.12E+00
8.4	-2.48E-01	2.20E+00
8.2	-2.77E-01	2.26E+00
8	-3.02E-01	2.32E+00
7.8	-3.52E-01	2.41E+00
7.6	-4.24E-01	2.47E+00
7.4	-4.77E-01	2.55E+00
7.2	-5.52E-01	2.62E+00
7.0	-6.29E-01	2.68E+00
6.8	-7.82E-01	2.75E+00
6.6	-9.40E-01	2.83E+00
6.4	-1.11E+00	2.95E+00
6.2	-1.37E+00	3.08E+00
5.9	-1.75E+00	3.41E+00
5.8	-1.91E+00	3.60E+00
5.7	-2.04E+00	3.77E+00
5.6	-2.16E+00	3.99E+00
5.5	-2.28E+00	4.21E+00
5.4	-2.42E+00	4.50E+00
