          a, nmKramers-Kr, mPa          Drude    Marachevsky     Gen_Plasma      Drude-Lor      Bren-Borm          Gauss        Casimir
        554.600        -10.415        -10.317         -9.982        -11.328        -10.015        -10.056        -10.369        -13.747
        558.930        -10.102        -10.008         -9.684        -10.996         -9.716         -9.756        -10.058        -13.326
        566.320         -9.595         -9.507         -9.201        -10.457         -9.231         -9.269         -9.553        -12.644
        569.120         -9.411         -9.325         -9.026        -10.262         -9.056         -9.093         -9.369        -12.397
        575.740         -8.993         -8.912         -8.628         -9.818         -8.656         -8.691         -8.954        -11.836
        585.670         -8.408         -8.335         -8.072         -9.196         -8.097         -8.130         -8.372        -11.054
        591.020         -8.113         -8.043         -7.790         -8.881         -7.815         -7.846         -8.078        -10.659
        596.110            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        599.420         -7.674         -7.609         -7.372         -8.414         -7.395         -7.425         -7.641        -10.074
        605.020         -7.398         -7.336         -7.109         -8.119         -7.131         -7.159         -7.366         -9.706
        613.930         -6.984         -6.927         -6.714         -7.676         -6.734         -6.761         -6.954         -9.155
        620.040         -6.716         -6.662         -6.458         -7.390         -6.478         -6.503         -6.688         -8.799
        624.880         -6.513         -6.461         -6.264         -7.173         -6.284         -6.308         -6.486         -8.530
        630.990         -6.268         -6.218         -6.030         -6.910         -6.048         -6.072         -6.241         -8.204
        633.530         -6.169         -6.121         -5.936         -6.804         -5.954         -5.976         -6.143         -8.073
        639.390         -5.949         -5.902         -5.725         -6.568         -5.742         -5.764         -5.924         -7.782
        645.240         -5.738         -5.694         -5.524         -6.342         -5.540         -5.561         -5.714         -7.503
        651.360            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        655.940         -5.377         -5.336         -5.178         -5.954         -5.194         -5.213         -5.354         -7.025
        659.510         -5.262         -5.223         -5.069         -5.831         -5.084         -5.103         -5.240         -6.875
        665.100         -5.089         -5.052         -4.903         -5.645         -4.918         -4.936         -5.068         -6.646
        670.700         -4.923         -4.887         -4.744         -5.465         -4.758         -4.776         -4.903         -6.427
        675.800         -4.777         -4.743         -4.605         -5.308         -4.618         -4.635         -4.758         -6.235
        680.640            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
        685.220         -4.522         -4.490         -4.360         -5.033         -4.373         -4.389         -4.503         -5.899
        688.780         -4.430         -4.399         -4.272         -4.934         -4.284         -4.300         -4.412         -5.778
        695.150         -4.271         -4.241         -4.120         -4.762         -4.131         -4.146         -4.253         -5.569
        698.970         -4.179         -4.150         -4.032         -4.662         -4.043         -4.057         -4.162         -5.449
